YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FLIGHT_NUM,ORIGIN,DEST,SCHEDULED_DEP_TIME,ACTUAL_DEP_TIME,DEP_DELAY,SCHEDULED_ARR_TIME,ACTUAL_ARR_TIME,DISTANCE,ARR_DELAY,DELAY
2016,1,8,5,945,DTW,ATL,1345,1430,45,1555,1626,594,31,YES
2016,1,8,5,987,SEA,DTW,2300,2255,-5,615,559,1927,-16,NO
2016,1,8,5,1107,ATL,SEA,1920,1932,12,2205,2142,2182,-23,NO
2016,1,8,5,1145,ATL,DTW,1620,1620,0,1824,1802,594,-22,NO
2016,1,9,6,866,ATL,MSP,1350,1346,-4,1538,1510,907,-28,NO
2016,1,9,6,976,ATL,JFK,1000,955,-5,1211,1154,760,-17,NO
2016,1,9,6,1094,ATL,MSP,1455,1454,-1,1645,1619,907,-26,NO
2016,1,9,6,1122,MSP,ATL,725,721,-4,1057,1050,907,-7,NO
2016,1,9,6,1290,ATL,DTW,2210,2210,0,3,5,594,2,NO
2016,1,9,6,1419,SEA,MSP,645,642,-3,1201,1205,1399,4,NO
2016,1,9,6,1598,SEA,ATL,620,620,0,1401,1404,2182,3,NO
2016,1,8,5,1397,MSP,SEA,1415,1413,-2,1603,1545,1399,-18,NO
2016,1,8,5,1473,SEA,JFK,1110,1110,0,1930,1950,2422,20,YES
2016,1,8,5,1598,SEA,ATL,620,620,0,1401,1416,2182,15,YES
2016,1,8,5,1734,MSP,DTW,1152,1149,-3,1436,1443,528,7,NO
2016,1,8,5,1815,MSP,ATL,905,901,-4,1234,1229,907,-5,NO
2016,1,8,5,1961,MSP,ATL,1939,1938,-1,2308,2305,907,-3,NO
2016,1,8,5,2039,ATL,SEA,831,831,0,1109,1054,2182,-15,NO
2016,1,9,6,2139,JFK,ATL,820,819,-1,1052,1040,760,-12,NO
2016,1,9,6,2263,ATL,DTW,1054,1050,-4,1249,1242,594,-7,NO
2016,1,9,6,2382,ATL,MSP,1930,1956,26,2120,2118,907,-2,NO
2016,1,9,6,2448,DTW,ATL,1205,1259,54,1416,1506,594,50,YES
2016,1,9,6,2576,JFK,DTW,1845,1844,-1,2059,2045,509,-14,NO
2016,1,9,6,2834,MSP,SEA,701,659,-2,852,1151,1399,,NO
2016,1,9,6,2839,DTW,JFK,1527,1523,-4,1724,1709,509,-15,NO
2016,1,10,7,86,MSP,DTW,1348,,,1632,,528,,NO
2016,1,10,7,87,DTW,MSP,1540,1604,24,1649,1703,528,14,NO
2016,1,10,7,423,JFK,ATL,1325,1336,11,1600,1607,760,7,NO
2016,1,10,7,440,JFK,ATL,610,609,-1,849,835,760,-14,NO
2016,1,10,7,485,JFK,SEA,1615,1720,65,1945,1955,2422,10,NO
2016,1,10,7,557,MSP,DTW,625,620,-5,912,1500,528,,NO
2016,1,10,7,589,MSP,SEA,910,910,0,1100,1031,1399,-29,NO
2016,1,10,7,744,MSP,ATL,1005,1005,0,1334,1323,907,-11,NO
2016,1,10,7,789,SEA,MSP,1315,1315,0,1837,1837,1399,0,NO
2016,1,9,6,8,MSP,ATL,1732,1734,2,2103,2109,907,6,NO
2016,1,9,6,87,DTW,MSP,1540,1539,-1,1646,1623,528,-23,NO
2016,1,9,6,423,JFK,ATL,1325,1324,-1,1600,1558,760,-2,NO
2016,1,9,6,435,JFK,SEA,740,834,54,1053,1133,2422,40,YES
2016,1,9,6,485,JFK,SEA,1615,1632,17,1940,1930,2422,-10,NO
2016,1,9,6,629,ATL,DTW,915,917,2,1109,1108,594,-1,NO
2016,1,9,6,784,ATL,MSP,835,835,0,1018,1000,907,-18,NO
2016,1,10,7,1145,ATL,DTW,1620,1620,0,1825,1846,594,21,YES
2016,1,10,7,1231,ATL,DTW,1341,1335,-6,1542,1552,594,10,NO
2016,1,10,7,1397,MSP,SEA,1415,1414,-1,1603,1536,1399,-27,NO
2016,1,10,7,1473,SEA,JFK,1110,1109,-1,1930,1945,2422,15,YES
2016,1,10,7,1598,SEA,ATL,620,619,-1,1401,1402,2182,1,NO
2016,1,10,7,1734,MSP,DTW,1152,1242,50,1436,1521,528,45,YES
2016,1,10,7,1795,ATL,JFK,1745,1929,104,2014,2131,760,77,YES
2016,1,10,7,1893,DTW,ATL,835,1339,304,1049,1615,594,326,YES
2016,1,11,1,1707,DTW,MSP,834,832,-2,945,917,528,-28,NO
2016,1,11,1,1770,SEA,MSP,1530,1530,0,2048,2050,1399,2,NO
2016,1,11,1,1840,MSP,DTW,1759,1800,1,2044,2100,528,16,YES
2016,1,10,7,822,SEA,DTW,700,707,7,1415,1423,1927,8,NO
2016,1,10,7,875,ATL,JFK,1515,1801,166,1749,2020,760,151,YES
2016,1,10,7,945,DTW,ATL,1345,1747,242,1558,2019,594,261,YES
2016,1,10,7,987,SEA,DTW,2300,2258,-2,615,609,1927,-6,NO
2016,1,10,7,1096,DTW,MSP,1200,,,1303,,528,,NO
2016,1,10,7,1107,ATL,SEA,1920,1929,9,2205,2145,2182,-20,NO
2016,1,11,1,780,MSP,DTW,1020,1028,8,1304,1302,528,-2,NO
2016,1,11,1,822,SEA,DTW,700,655,-5,1415,1405,1927,-10,NO
2016,1,11,1,866,ATL,MSP,1350,1348,-2,1540,1524,907,-16,NO
2016,1,11,1,929,DTW,ATL,1627,1627,0,1840,1825,594,-15,NO
2016,1,11,1,984,ATL,JFK,2050,2049,-1,2315,2243,760,-32,NO
2016,1,11,1,1094,ATL,MSP,1455,1451,-4,1645,1622,907,-23,NO
2016,1,11,1,1121,DTW,ATL,2005,1958,-7,2219,2227,594,8,NO
2016,1,11,1,1187,MSP,SEA,1739,1812,33,1928,2032,1399,64,YES
2016,1,11,1,1290,ATL,DTW,2210,2213,3,5,2352,594,-13,NO
2016,1,11,1,1419,SEA,MSP,645,641,-4,1204,1151,1399,-13,NO
2016,1,11,1,1542,SEA,JFK,2305,2304,-1,723,654,2422,-29,NO
2016,1,11,1,1651,DTW,SEA,2008,2004,-4,2221,2236,1927,15,YES
2016,1,11,1,2794,DTW,ATL,720,718,-2,945,931,594,-14,NO
2016,1,12,2,7,ATL,MSP,1046,1043,-3,1230,1220,907,-10,NO
2016,1,12,2,86,MSP,DTW,1353,1406,13,1637,1636,528,-1,NO
2016,1,12,2,420,JFK,SEA,700,657,-3,1020,1001,2422,-19,NO
2016,1,12,2,426,JFK,ATL,820,819,-1,1055,1048,760,-7,NO
2016,1,12,2,478,ATL,JFK,1205,1201,-4,1424,1411,760,-13,NO
2016,1,9,6,1782,DTW,SEA,1505,1500,-5,1709,1645,1927,-24,NO
2016,1,9,6,1975,MSP,ATL,1125,1131,6,1456,1530,907,34,YES
2016,1,10,7,2039,ATL,SEA,831,830,-1,1109,1037,2182,-32,NO
2016,1,10,7,2205,JFK,MSP,1610,1903,173,1836,2056,1029,140,YES
2016,1,10,7,2283,DTW,ATL,600,554,-6,820,746,594,-34,NO
2016,1,10,7,2350,DTW,ATL,2153,2242,49,5,30,594,25,YES
2016,1,10,7,2424,SEA,DTW,1348,1633,165,2104,2334,1927,150,YES
2016,1,10,7,2536,MSP,SEA,1933,1939,6,2125,2103,1399,-22,NO
2016,1,10,7,2817,JFK,DTW,909,1300,231,1123,1535,509,252,YES
2016,1,11,1,86,MSP,DTW,1408,1407,-1,1648,1652,528,4,NO
2016,1,11,1,420,JFK,SEA,700,659,-1,1020,1001,2422,-19,NO
2016,1,11,1,436,JFK,MSP,1129,1259,90,1344,1504,1029,80,YES
2016,1,11,1,478,ATL,JFK,1205,1211,6,1424,1400,760,-24,NO
2016,1,11,1,557,MSP,DTW,635,635,0,921,905,528,-16,NO
2016,1,11,1,630,DTW,ATL,1740,1758,18,1954,2001,594,7,NO
2016,1,12,2,1403,ATL,SEA,1350,1348,-2,1625,1626,2182,1,NO
2016,1,12,2,1476,DTW,MSP,1345,1340,-5,1444,1459,528,15,YES
2016,1,14,4,281,DTW,SEA,840,839,-1,1100,1115,1927,15,YES
2016,1,14,4,425,JFK,ATL,1632,1635,3,1921,1852,760,-29,NO
2016,1,14,4,478,ATL,JFK,1205,1207,2,1424,1418,760,-6,NO
2016,1,14,4,557,MSP,DTW,635,633,-2,921,914,528,-7,NO
2016,1,14,4,630,DTW,ATL,1740,1736,-4,1954,1943,594,-11,NO
2016,1,12,2,1651,DTW,SEA,2008,2006,-2,2221,2217,1927,-4,NO
2016,1,12,2,1768,SEA,MSP,815,814,-1,1336,1324,1399,-12,NO
2016,1,12,2,1815,MSP,ATL,905,934,29,1234,1242,907,8,NO
2016,1,12,2,1975,MSP,ATL,1125,1125,0,1458,1441,907,-17,NO
2016,1,12,2,2039,ATL,SEA,831,856,25,1109,1116,2182,7,NO
2016,1,14,4,1542,SEA,JFK,2305,2315,10,723,710,2422,-13,NO
2016,1,14,4,1651,DTW,SEA,2008,2008,0,2221,2232,1927,11,NO
2016,1,14,4,1768,SEA,MSP,815,813,-2,1337,1325,1399,-12,NO
2016,1,14,4,1815,MSP,ATL,905,910,5,1234,1226,907,-8,NO
2016,1,14,4,1961,MSP,ATL,1939,1938,-1,2306,2255,907,-11,NO
2016,1,14,4,2032,MSP,JFK,700,658,-2,1049,1012,1029,-37,NO
2016,1,14,4,2188,ATL,SEA,1630,1630,0,1912,1856,2182,-16,NO
2016,1,14,4,2263,ATL,DTW,1054,1058,4,1253,1254,594,1,NO
2016,1,14,4,2312,MSP,JFK,1755,1752,-3,2149,2125,1029,-24,NO
2016,1,14,4,2413,SEA,JFK,700,700,0,1515,1451,2422,-24,NO
2016,1,14,4,2508,SEA,DTW,940,938,-2,1655,1636,1927,-19,NO
2016,1,14,4,2793,DTW,MSP,1001,1000,-1,1107,1116,528,9,NO
2016,1,14,4,2817,JFK,DTW,909,901,-8,1123,1114,509,-9,NO
2016,1,15,5,53,MSP,DTW,1530,1526,-4,1813,1801,528,-12,NO
2016,1,15,5,325,DTW,ATL,1454,1508,14,1706,1714,594,8,NO
2016,1,15,5,426,JFK,ATL,820,838,18,1055,1103,760,8,NO
2016,1,15,5,485,JFK,SEA,1615,1628,13,1945,1920,2422,-25,NO
2016,1,15,5,588,SEA,MSP,1105,1110,5,1627,1626,1399,-1,NO
2016,1,15,5,652,ATL,MSP,2105,2104,-1,2257,2247,907,-10,NO
2016,1,15,5,784,ATL,MSP,835,843,8,1020,1023,907,3,NO
2016,1,15,5,840,MSP,DTW,1951,1947,-4,2234,2230,528,-4,NO
2016,1,15,5,902,ATL,DTW,1456,1512,16,1655,1701,594,6,NO
2016,1,15,5,976,ATL,JFK,1000,1001,1,1213,1209,760,-4,NO
2016,1,14,4,780,MSP,DTW,1020,1015,-5,1304,1250,528,-14,NO
2016,1,14,4,822,SEA,DTW,700,658,-2,1415,1356,1927,-19,NO
2016,1,14,4,866,ATL,MSP,1350,1349,-1,1540,1509,907,-31,NO
2016,1,14,4,929,DTW,ATL,1627,1623,-4,1840,1822,594,-18,NO
2016,1,14,4,984,ATL,JFK,2050,2056,6,2315,2312,760,-3,NO
2016,1,14,4,1094,ATL,MSP,1455,1907,252,1645,2036,907,231,YES
2016,1,14,4,1121,DTW,ATL,2005,2005,0,2219,2154,594,-25,NO
2016,1,14,4,1187,MSP,SEA,1739,1735,-4,1928,1911,1399,-17,NO
2016,1,14,4,1290,ATL,DTW,2210,2205,-5,5,2357,594,-8,NO
2016,1,14,4,1419,SEA,MSP,645,643,-2,1204,1201,1399,-3,NO
2016,1,15,5,1121,DTW,ATL,2013,2013,0,2227,2217,594,-10,NO
2016,1,15,5,1187,MSP,SEA,1739,1808,29,1928,1951,1399,23,YES
2016,1,15,5,1290,ATL,DTW,2210,2212,2,5,1,594,-4,NO
2016,1,15,5,1419,SEA,MSP,645,650,5,1204,1153,1399,-11,NO
2016,1,15,5,1542,SEA,JFK,2305,2301,-4,723,655,2422,-28,NO
2016,1,15,5,1651,DTW,SEA,2008,2040,32,2221,2221,1927,0,NO
2016,1,15,5,1782,DTW,SEA,1509,1514,5,1710,1651,1927,-19,NO
2016,1,15,5,1852,ATL,SEA,1113,1152,39,1351,1400,2182,9,NO
2016,1,16,6,427,JFK,ATL,805,806,1,1040,1037,760,-3,NO
2016,1,16,6,445,JFK,ATL,1715,1712,-3,2002,1947,760,-15,NO
2016,1,16,6,528,ATL,MSP,1625,1623,-2,1814,1750,907,-24,NO
2016,1,16,6,630,DTW,ATL,1945,1935,-10,2157,2133,594,-24,NO
2016,1,16,6,822,SEA,DTW,700,709,9,1415,1406,1927,-9,NO
2016,1,16,6,888,MSP,ATL,1629,1624,-5,1959,1958,907,-1,NO
2016,1,16,6,991,ATL,DTW,1200,1159,-1,1401,1335,594,-26,NO
2016,1,16,6,1107,ATL,SEA,1920,1924,4,2201,2151,2182,-10,NO
2016,1,16,6,1195,DTW,JFK,2000,2000,0,2157,2141,509,-16,NO
2016,1,16,6,1403,ATL,SEA,1350,1417,27,1624,1640,2182,16,YES
2016,1,16,6,1593,SEA,ATL,2314,2307,-7,644,623,2182,-21,NO
2016,1,16,6,1707,DTW,MSP,834,838,4,941,925,528,-16,NO
2016,1,16,6,1815,MSP,ATL,905,1006,61,1232,1315,907,43,YES
2016,1,17,7,1195,DTW,JFK,2000,2008,8,2157,2244,509,47,YES
2016,1,17,7,1397,MSP,SEA,1405,1359,-6,1552,1534,1399,-18,NO
2016,1,17,7,1542,SEA,JFK,2305,2302,-3,721,647,2422,-34,NO
2016,1,17,7,1651,DTW,SEA,2015,2032,17,2226,2247,1927,21,YES
2016,1,15,5,2005,ATL,DTW,725,730,5,922,919,594,-3,NO
2016,1,15,5,2134,SEA,ATL,1450,1507,17,2232,2236,2182,4,NO
2016,1,15,5,2260,SEA,ATL,1055,1053,-2,1838,1822,2182,-16,NO
2016,1,15,5,2309,JFK,ATL,1930,1924,-6,2211,2148,760,-23,NO
2016,1,15,5,2393,ATL,DTW,1915,1919,4,2116,2102,594,-14,NO
2016,1,15,5,2442,ATL,JFK,1935,2009,34,2204,2235,760,31,YES
2016,1,15,5,2536,MSP,SEA,1933,2002,29,2125,2139,1399,14,NO
2016,1,15,5,2802,JFK,MSP,1129,1128,-1,1344,1322,1029,-22,NO
2016,1,15,5,2842,MSP,ATL,1315,1313,-2,1649,1637,907,-12,NO
2016,1,16,6,86,MSP,DTW,1152,1150,-2,1434,1422,528,-12,NO
2016,1,16,6,325,DTW,ATL,1520,1521,1,1731,1719,594,-12,NO
2016,1,17,7,2312,MSP,JFK,1755,1809,14,2147,2149,1029,2,NO
2016,1,17,7,2413,SEA,JFK,700,658,-2,1515,1454,2422,-21,NO
2016,1,17,7,2510,ATL,DTW,2053,2053,0,2249,2237,594,-12,NO
2016,1,18,1,8,MSP,ATL,1732,1734,2,2105,2039,907,-26,NO
2016,1,18,1,281,DTW,SEA,840,847,7,1100,1040,1927,-20,NO
